DY
189
20
life_expectancy_at_birth_years;expected_years_of_schooling_years;mean_years_of_schooling_years;gross_national_income_GNI_per_capita_2017_PPP_$;GNI_rank_minus_HDI_rank;GINI_coefficient_2010-2018;life_expectancy_at_birth_women_years;life_expectancy_at_birth_men_years;expected_years_of_schooling_women_years;expected_years_of_schooling_men_years;population_millions;healthy_life_expectancy_at_birth;health_expenditure_2017_%_GDP;GDP_2017_PPP_$_billions;labour_force_participation_rate_%_aged_15_or_older;%_share_of_seats_in_parliament_women;adolescent_birth_rate_girls_aged_15-19;predicted_population_2030;total_fertility_rate_per_woman_2015-2020;prison_population_per_100_000
United Arab Emirates;78.0;14.3;12.1;67462;-24;32.5;79.3;77.3;14.8;14.1;9.8;64.4;3.3;655.8;82.1;50.0;6.5;10.7;1.4;107;1
Greece;82.2;17.9;10.6;30155;14;34.4;84.7;79.8;17.5;18.1;10.5;69.9;8.0;324.9;51.8;20.7;7.2;9.9;1.3;101;1
Cyprus;81.0;15.2;12.2;38207;2;31.4;83.0;78.9;15.4;14.9;1.2;69.9;6.7;34.9;63.1;17.9;4.6;1.3;1.3;52;1
Lithuania;75.9;16.6;13.1;35799;5;37.3;81.4;70.3;17.1;16.2;2.8;66.6;6.5;103.0;61.6;21.3;10.9;2.5;1.7;232;1
Poland;78.7;16.3;12.5;31623;8;29.7;82.6;74.8;16.9;15.3;37.9;68.1;6.5;1256.3;56.7;27.9;10.5;36.9;1.4;192;1
Andorra;81.9;13.3;10.5;56000;-20;;;;;;0.1;70.9;10.3;;;46.4;;0.1;;64;1
Latvia;75.3;16.2;13.0;30282;8;35.6;80.0;70.2;16.8;15.5;1.9;66.3;6.0;59.0;61.4;30.0;16.2;1.7;1.7;183;1
Portugal;82.1;16.5;9.3;33967;2;33.8;84.9;79.0;16.5;16.6;10.2;70.2;9.0;357.4;58.8;38.7;8.4;9.9;1.3;127;1
Slovakia;77.5;14.5;12.7;32113;3;25.2;81.0;74.0;15.0;14.0;5.5;67.6;6.7;178.9;59.5;20.0;25.7;5.4;1.5;189;1
Hungary;76.9;15.2;12.0;31329;4;30.6;80.3;73.2;15.5;14.9;9.7;66.8;6.9;318.7;56.5;12.6;24.0;9.3;1.5;175;1
Saudi Arabia;75.1;16.1;10.2;47495;-16;;76.8;73.9;16.0;16.2;34.3;64.5;5.2;1609.3;55.9;19.9;7.3;39.3;2.3;206;1
Bahrain;77.3;16.3;9.5;42522;-12;;78.4;76.4;16.7;16.1;1.6;66.6;4.7;73.9;73.4;18.8;13.4;2.0;2.0;233;1
Chile;80.2;16.4;10.6;23261;16;44.4;82.4;77.8;16.7;16.2;19.0;69.2;9.0;459.1;62.6;22.7;41.1;19.5;1.7;246;1
Croatia;78.5;15.2;11.4;28070;6;30.4;81.6;75.3;16.0;14.5;4.1;68.2;6.8;116.0;51.2;20.5;8.7;3.9;1.4;77;1
Qatar;80.2;12.0;9.7;92418;-43;;82.0;79.1;14.1;11.3;2.8;66.3;2.6;262.4;86.8;9.8;9.9;3.3;1.9;47;1
Argentina;76.7;17.7;10.9;21190;16;41.4;80.0;73.2;18.9;16.4;44.8;66.8;9.1;990.2;61.3;39.9;62.8;49.1;2.3;194;1
Brunei Darussalam;75.9;14.3;9.1;63965;-38;;77.1;74.7;14.8;13.9;0.4;65.3;2.4;26.9;64.7;9.1;10.3;0.5;1.8;136;1
